mesh 1 x,mesh 1 y,mesh 1 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
89,1,1,1.0,10000000.0,neutron,total,flux,8.066738502630307e-06,1.947368035013658e-06
89,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
89,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
90,1,1,1.0,10000000.0,neutron,total,flux,5.710154577046705e-06,1.9826140078633726e-06
90,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
90,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
91,1,1,1.0,10000000.0,neutron,total,flux,8.180101877585178e-06,2.629611279059903e-06
91,1,1,10000000.0,14000000.0,neutron,total,flux,3.986834433826792e-07,3.986834433826792e-07
91,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
92,1,1,1.0,10000000.0,neutron,total,flux,6.049287467093792e-06,1.6870226622407333e-06
92,1,1,10000000.0,14000000.0,neutron,total,flux,1.6553795446175482e-06,1.1036269866576666e-06
92,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
93,1,1,1.0,10000000.0,neutron,total,flux,4.685555970752593e-06,2.361449744966377e-06
93,1,1,10000000.0,14000000.0,neutron,total,flux,7.237272273599834e-07,6.784103180129132e-07
93,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
94,1,1,1.0,10000000.0,neutron,total,flux,5.4171610671142155e-06,1.96810341736249e-06
94,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
94,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
95,1,1,1.0,10000000.0,neutron,total,flux,5.751578720070226e-06,1.6846016230592256e-06
95,1,1,10000000.0,14000000.0,neutron,total,flux,8.146737363684858e-07,8.146737363684859e-07
95,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
96,1,1,1.0,10000000.0,neutron,total,flux,4.496438241247297e-06,1.3222716645362804e-06
96,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
96,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
97,1,1,1.0,10000000.0,neutron,total,flux,9.197481125901477e-06,2.4689812779277172e-06
97,1,1,10000000.0,14000000.0,neutron,total,flux,8.083669046000025e-07,8.083669046000025e-07
97,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
98,1,1,1.0,10000000.0,neutron,total,flux,5.840771389617825e-06,1.5480854145576836e-06
98,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
98,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
99,1,1,1.0,10000000.0,neutron,total,flux,4.407998716147125e-06,1.536785472945263e-06
99,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
99,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
1,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
1,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
1,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
2,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
2,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
2,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
3,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
3,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
3,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
4,1,2,1.0,10000000.0,neutron,total,flux,6.016698801829442e-07,6.016698801829442e-07
4,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
4,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
5,1,2,1.0,10000000.0,neutron,total,flux,2.572601461531793e-07,2.572601461531793e-07
5,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
5,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
6,1,2,1.0,10000000.0,neutron,total,flux,5.346868491839874e-07,5.346868491839874e-07
6,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
6,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
7,1,2,1.0,10000000.0,neutron,total,flux,7.793925192506175e-08,7.793925192506175e-08
7,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
7,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
8,1,2,1.0,10000000.0,neutron,total,flux,7.157327450801502e-07,7.157327450801501e-07
8,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
8,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
9,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
9,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
